Date,Retailer,EAN,Category,Manufacturer,Brand,Product Title,Image,On Promotion,Promotion Description,Base Price,Shelf Price,Promoted Price
2022-02-01,Sainsburys,70177178086,Green Tea,R Twinings & Co Ltd,Twinings,"Twinings Coconut & Mango Green Tea, 20 Tea Bags",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177178086,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,8711000363799,Instant Coffee,Jacobs Douwe Egberts,L'OR,L'OR Classique Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/364756011,False,,4.25,4.25,4.25
2022-02-01,Sainsburys,5060519146090,Fruit & Herbal Tea,Pukka Herbs,Pukka,Pukka Organic Fresh Start 20 Tea Sachets 34g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060519146090,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,8712100712319,Black Tea,Unilever,PG Tips,PG Tips Original Tea Bags 80,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8712100712319,False,,2.2,2.2,2.2
2022-02-01,Sainsburys,5011546415581,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Original Decaff Instant Coffee 200g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/113819011,False,,4.5,4.5,4.5
2022-02-01,Sainsburys,8000070012219,Coffee Beans,Luigi Lavazza S.p.A.,Lavazza,Lavazza Qualità Oro Coffee Beans 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8000070012219,True,Only £3.50: Save £1.00,4.5,3.5,3.5
2022-02-01,Sainsburys,8711000519233,Instant Coffee,Jacobs Douwe Egberts,Kenco,Kenco Millicano Americano Intense Instant Coffee 95g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/334900011,False,,5.0,5.0,5.0
2022-02-01,Sainsburys,1298475,Ground Coffee,Sainsbury's Supermarkets Ltd,Sainsbury's,"Sainsbury's Fairtrade Italian Espresso Coffee, Strength 5 227g",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000001298475,False,,2.3,2.3,2.3
2022-02-01,Sainsburys,4891028711469,Fruit & Herbal Tea,Vitasoy International Holdings Ltd,Vita,Vita Chrysanthemum Tea 250ml,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/4891028711469,False,,0.75,0.75,0.75
2022-02-01,Sainsburys,502085,Black Tea,Sainsbury's Supermarkets Ltd,Sainsbury's Taste the Difference,"Sainsbury's Kenya Tea Bags, Taste the Difference x80",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000502085,False,,2.75,2.75,2.75
2022-02-01,Sainsburys,70177115227,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Camomile And Honey 20s 30g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177115227,False,,1.7,1.7,1.7
2022-02-01,Sainsburys,70177225872,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Superblends Calm Tea Bags 30g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177225872,True,Half Price:  Was £2.70 Now £1.35,2.7,1.35,1.35
2022-02-01,Sainsburys,7613034065902,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Azera Intenso Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/211047011,False,,5.5,5.5,5.5
2022-02-01,Sainsburys,8712100717048,Black Tea,Unilever,PG Tips,PG Tips Extra Strong Pyramid 80s Teabags 232g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8712100717048,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,7613035415201,Decaf Coffee,Nestlé,NESCAFÉ,Nescafe Azera Americano Decaff Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/380353011,False,,5.5,5.5,5.5
2022-02-01,Sainsburys,5000208069897,Black Tea,Tata Consumer Products,Tetley,Tetley Softpack 240 Teabags 750g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5000208069897,True,Only £3.00: Save £1.00,4.0,3.0,3.0
2022-02-01,Sainsburys,8711000276624,Instant Coffee,Jacobs Douwe Egberts,Douwe Egberts,Douwe Egberts Pure Gold Instant Coffee Refill 150g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8711000276624,False,,4.65,4.65,4.65
2022-02-01,Sainsburys,5011546415499,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Original Instant Coffee 300g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/113817011,False,,7.0,7.0,7.0
2022-02-01,Sainsburys,8711000279380,Instant Coffee,Jacobs Douwe Egberts,Douwe Egberts,Douwe Egberts Pure Gold Medium Roast Instant Coffee 95g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8711000279380,False,,3.5,3.5,3.5
2022-02-01,Sainsburys,70177075101,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Lemon & Ginger 20 Teabags 30g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177075101,False,,1.7,1.7,1.7
2022-02-01,Sainsburys,70177229948,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Superblends Digest Ginger & Turmeric with Fig Tea Bags x20 40g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177229948,True,Half Price:  Was £2.70 Now £1.35,2.7,1.35,1.35
2022-02-01,Sainsburys,502061,Black Tea,Sainsbury's Supermarkets Ltd,Sainsbury's Taste the Difference,Sainsbury's Assam Tea Bags Taste the Difference x80,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000502061,False,,2.4,2.4,2.4
2022-02-01,Sainsburys,70177229979,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Superblends Time to Unwind Strawberry & Camomile with Limeflower Tea Bags x20 36g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177229979,True,Half Price:  Was £2.70 Now £1.35,2.7,1.35,1.35
2022-02-01,Sainsburys,70177136512,Black Tea,R Twinings & Co Ltd,Twinings,Twinings Assam Tea Bags 80s 200g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177136512,True,Only £3.50: Save £1.80,5.3,3.5,3.5
2022-02-01,Sainsburys,8712100710148,Black Tea,Unilever,PG Tips,PG Tips Gold 80s Pyramid Teabags 232g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8712100710148,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,5060136750144,Fruit & Herbal Tea,Teapigs,Teapigs,Teapigs Peppermint Leaves 15s 30g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060136750144,False,,4.0,4.0,4.0
2022-02-01,Sainsburys,1183689,English Breakfast Tea,Sainsbury's Supermarkets Ltd,Sainsbury's Taste the Difference,Sainsbury's English Breakfast Tea Bags Taste the Difference x80,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000001183689,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,70177264581,Green Tea,R Twinings & Co Ltd,Twinings,Twinings Mint Green Tea 20 Teabags 40g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177264581,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,359306,Fruit & Herbal Tea,Sainsbury's Supermarkets Ltd,Sainsbury's Taste the Difference,"Sainsbury's Strawberry & Elderflower Infusion Bags, Taste the Difference x20 40g",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000359306,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,5060229012562,Fruit & Herbal Tea,Pukka Herbs,Pukka,Pukka Organic 3 Chamomile 20 Tea Bags 30g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060229012562,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,5016686003612,Chai Tea,Tea India Ltd,Tea India,Tea India Masala Chai Teabags x40,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5016686003612,False,,2.2,2.2,2.2
2022-02-01,Sainsburys,277655,Black Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Fairly Traded Gold Label x80 Tea Bags 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000277655,False,,1.7,1.7,1.7
2022-02-01,Sainsburys,5011546415567,Decaf Coffee,Nestlé,NESCAFÉ,Nescafe Original Decaff Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/268419011,True,Only £2.30: Save 35p,2.65,2.3,2.3
2022-02-01,Sainsburys,1734348,Fruit & Herbal Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Infusions Peppermint Tea Bags x20,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000001734348,False,,0.75,0.75,0.75
2022-02-01,Sainsburys,70177067762,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Pure Camomile 20 Tea Bags 20pk,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177067762,False,,1.7,1.7,1.7
2022-02-01,Sainsburys,70177270322,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Lemon And Ginger 80s 120g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177270322,False,,4.5,4.5,4.5
2022-02-01,Sainsburys,7613036077514,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Gold Blend Instant Coffee 200g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/7613036077514,False,,7.0,7.0,7.0
2022-02-01,Sainsburys,70177154318,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Fennel Tea Bags 20s,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177154318,False,,1.7,1.7,1.7
2022-02-01,Sainsburys,70177229955,Green Tea,R Twinings & Co Ltd,Twinings,Twinings Superblends Metabolism Peppermint with Spiced Green Tea & Nettle Bags x20 40g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177229955,True,Half Price:  Was £2.70 Now £1.35,2.7,1.35,1.35
2022-02-01,Sainsburys,305082,Fruit & Herbal Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Spiced Turmeric Infusion Tea Bags x20 36g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000305082,False,,1.55,1.55,1.55
2022-02-01,Sainsburys,5060136753824,Fruit & Herbal Tea,Teapigs,Teapigs,Teapigs Calm Relaxing Tea 15s 30g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060136753824,False,,4.0,4.0,4.0
2022-02-01,Sainsburys,7613034065520,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Azera Americano Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.development.core-images/7613034065520,False,,5.5,5.5,5.5
2022-02-01,Sainsburys,7613038713885,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Original Black Roast Instant Coffee 200g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/7613038713885,False,,4.5,4.5,4.5
2022-02-01,Sainsburys,615357120815,Ground Coffee,Taylors of Harrogate,Taylors of Harrogate,Taylors of Harrogate After Dark Ground Roast Coffee 227g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0615357120815,True,Only £3.00: Save 75p,3.75,3.0,3.0
2022-02-01,Sainsburys,7613038683959,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Azera Americano Instant Coffee 150g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/7613038683959,False,,7.5,7.5,7.5
2022-02-01,Sainsburys,277549,Black Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Fairly Traded Red Label Tea Bags x40 125g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000277549,False,,0.6,0.6,0.6
2022-02-01,Sainsburys,8711000363768,Instant Coffee,Jacobs Douwe Egberts,L'OR,L'Or Decaffinated Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/364758011,False,,4.25,4.25,4.25
2022-02-01,Sainsburys,5010357112085,Black Tea,Taylors of Harrogate,Yorkshire Tea,Yorkshire Tea 160 Tea Bags 500g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5010357112085,True,Only £4.00: Save 50p,4.5,4.0,4.0
2022-02-01,Sainsburys,5010357112085,Black Tea,Taylors of Harrogate,Yorkshire Tea,Yorkshire Tea 160 Tea Bags 500g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5010357112085,True,Only £4.00: Save 50p,4.5,4.0,4.0
2022-02-01,Sainsburys,277587,Black Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Fairly Traded Red Label x240 Tea Bags 750g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000277587,False,,2.9,2.9,2.9
2022-02-01,Sainsburys,5065000523183,Fruit & Herbal Tea,Pukka Herbs,Pukka,Pukka Organic Night Time 20 Tea Bags 20g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5065000523183,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,70177103071,Green Tea,R Twinings & Co Ltd,Twinings,Twinings Jasmine Green Tea Bags 20s,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177103071,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,70177178543,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Superblends Turmeric 40g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177178543,True,Half Price:  Was £2.70 Now £1.35,2.7,1.35,1.35
2022-02-01,Sainsburys,8712100712388,Black Tea,Unilever,PG Tips,PG Tips Pyramid 160 Teabags 160pk,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8712100712388,False,,3.3,3.3,3.3
2022-02-01,Sainsburys,5011546415468,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Original Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/212223011,True,Only £2.30: Save 35p,2.65,2.3,2.3
2022-02-01,Sainsburys,359313,Fruit & Herbal Tea,Sainsbury's Supermarkets Ltd,Sainsbury's Taste the Difference,"Sainsbury's Lemon, Manuka Honey & Ginger Infusion Bags, Taste the Difference x20 40g",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000359313,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,5010357117639,Ground Coffee,Taylors of Harrogate,Taylors of Harrogate,Taylors of Harrogate Rich Italian Ground Roast Coffee 227g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5010357117639,True,Only £3.00: Save 75p,3.75,3.0,3.0
2022-02-01,Sainsburys,8000070038868,Ground Coffee,Luigi Lavazza S.p.A.,Lavazza,Lavazza Crema e Gusto Ground Coffee 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/209965011,True,Only £3.50: Save 25p,3.75,3.5,3.5
2022-02-01,Sainsburys,6712670000283,Fruit & Herbal Tea,Dalgety,Dalgety,Dalgety Strong Pure Peppermint 18 Herbal Teabags 40g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/6712670000283,False,,1.8,1.8,1.8
2022-02-01,Sainsburys,5000208065103,Green Tea,Tata Consumer Products,Tetley,Tetley Lemon Green Tea 50s 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5000208065103,True,Only £1.50: Save 65p,2.15,1.5,1.5
2022-02-01,Sainsburys,7613036077538,Decaf Coffee,Nestlé,NESCAFÉ,Nescafe Gold Blend Decaff Instant Coffee 200g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/7613036077538,False,,7.0,7.0,7.0
2022-02-01,Sainsburys,359320,Fruit & Herbal Tea,Sainsbury's Supermarkets Ltd,Sainsbury's Taste the Difference,"Sainsbury's Camomile, Manuka Honey & Cinnamon Infusion Bags, Taste the Difference x20 30g",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000359320,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,70177178529,Green Tea,R Twinings & Co Ltd,Twinings,Twinings Superblends Glow 40g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177178529,True,Half Price:  Was £2.70 Now £1.35,2.7,1.35,1.35
2022-02-01,Sainsburys,70177264574,Green Tea,R Twinings & Co Ltd,Twinings,Twinings Lemon Green Tea Bags 20s,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177264574,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,8711000279410,Instant Coffee,Jacobs Douwe Egberts,Douwe Egberts,Douwe Egberts Pure Gold Indulgence Instant Coffee 190g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/113783011,False,,6.4,6.4,6.4
2022-02-01,Sainsburys,8712100712494,Black Tea,Unilever,PG Tips,PG Tips 240s Pyramid Teabags 696g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8712100712494,False,,4.5,4.5,4.5
2022-02-01,Sainsburys,70177136499,Everyday Tea,R Twinings & Co Ltd,Twinings,Twinings Everyday 100 Tea Bags 290g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177136499,False,,3.3,3.3,3.3
2022-02-01,Sainsburys,5010357112054,Black Tea,Taylors of Harrogate,Yorkshire Tea,Yorkshire Tea 80 Tea Bags 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5010357112054,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,8003753900469,Ground Coffee,Illycaffè S.p.A,illy,illy Espresso Roast Ground Coffee 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8003753900469,False,,6.5,6.5,6.5
2022-02-01,Sainsburys,5000208091140,Green Tea,Tata Consumer Products,Tetley,Tetley Decaffeinated Green Tea 50s 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5000208091140,True,Only £1.50: Save 65p,2.15,1.5,1.5
2022-02-01,Sainsburys,396288,Coffee Beans,Sainsbury's Supermarkets Ltd,Sainsbury's,"Sainsbury's Fairtrade House Blend Original Coffee Beans, Strength 3 227g",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000396288,False,,2.3,2.3,2.3
2022-02-01,Sainsburys,5060198252457,Coffee Beans,Cafédirect PLC,Cafédirect,CafeDirect Organic Mayan Gold Whole Beans 227g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060198252457,False,,3.75,3.75,3.75
2022-02-01,Sainsburys,277822,Black Tea,Sainsbury's Supermarkets Ltd,Sainsbury's SO Organic,"Sainsbury's Fairtrade x80 Tea Bags, SO Organic 250g",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000277822,False,,1.5,1.5,1.5
2022-02-01,Sainsburys,5060035750290,Coffee Beans,Union Hand-Roasted Coffee,Union Hand-Roasted Coffee,Union Hand-Roasted Coffee House Roast Original Blend Wholebean 700g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060035750290,False,,15.0,15.0,15.0
2022-02-01,Sainsburys,8000070012783,Ground Coffee,Luigi Lavazza S.p.A.,Lavazza,Lavazza Qualità Oro Ground Coffee 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8000070012783,True,Only £3.50: Save £1.00,4.5,3.5,3.5
2022-02-01,Sainsburys,8000070052628,Instant Coffee,Luigi Lavazza S.p.A.,Lavazza,Lavazza Prontissimo Intenso Instant Coffee 95g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/416079011,True,Only £2.50: Save £2.20,4.7,2.5,2.5
2022-02-01,Sainsburys,8711000519325,Instant Coffee,Jacobs Douwe Egberts,Kenco,Kenco Smooth Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8711000519325,False,,2.75,2.75,2.75
2022-02-01,Sainsburys,8003753900438,Ground Coffee,Illycaffè S.p.A,illy,Illy Espresso Ground Coffee 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/215882011,False,,6.5,6.5,6.5
2022-02-01,Sainsburys,5060519145468,Fruit & Herbal Tea,Pukka Herbs,Pukka,Pukka Organic Peace 20 Herbal Tea Sachets 20pk,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060519145468,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,8711000869512,Decaf Coffee,Jacobs Douwe Egberts,L'OR,L'OR Decafeine Decaffeinated Freeze Dried Instant Coffee 165g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8711000869512,False,,6.5,6.5,6.5
2022-02-01,Sainsburys,70177228378,Chai Tea,R Twinings & Co Ltd,Twinings,"Twinings Dark Chai Tea, 40 Tea Bags",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177228378,False,,4.0,4.0,4.0
2022-02-01,Sainsburys,850835000030,Fruit & Herbal Tea,Pukka Herbs,Pukka,Pukka Organic Relax Herbal Tea Sachets x20 40g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0850835000030,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,8711000519202,Instant Coffee,Jacobs Douwe Egberts,Kenco,Kenco Millicano Americano Instant Coffee 170g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8711000519202,False,,7.0,7.0,7.0
2022-02-01,Sainsburys,305105,Green Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Matcha Green Tea Bags x20 36g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000305105,False,,1.55,1.55,1.55
2022-02-01,Sainsburys,8711000449684,Decaf Coffee,Jacobs Douwe Egberts,Douwe Egberts,Douwe Egberts Pure Decaf Instant Coffee 190g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8711000449684,False,,6.4,6.4,6.4
2022-02-01,Sainsburys,8000070012882,Ground Coffee,Luigi Lavazza S.p.A.,Lavazza,Lavazza Espresso Ground Coffee 2 Pack,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8000070012882,False,,7.7,7.7,7.7
2022-02-01,Sainsburys,5000208014316,Everyday Tea,Tata Consumer Products,Tetley,"Tetley Everyday Tea Bags, Softpack x160",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5000208014316,False,,3.5,3.5,3.5
2022-02-01,Sainsburys,5021991979019,Green Tea,Kallo Foods Ltd,Clipper,Clipper Fairtrade Pure Green Tea 80 Tea Bags,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5021991979019,True,Only £3.00: Save £1.00,4.0,3.0,3.0
2022-02-01,Sainsburys,5010357112108,Black Tea,Taylors of Harrogate,Yorkshire Tea,Yorkshire Gold 80 Tea Bags 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5010357112108,False,,3.6,3.6,3.6
2022-02-01,Sainsburys,5000208053476,Fruit & Herbal Tea,Tata Global Beverages GB Ltd,Good Earth,Good Earth Teabags Tropical Moringa Mango 15 per pack,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5000208053476,True,Only £2.00: Save 75p,2.75,2.0,2.0
2022-02-01,Sainsburys,615357123403,Black Tea,Taylors of Harrogate,Yorkshire Tea,Yorkshire Tea Malty Biscuit Brew 40 Tea Bags 112g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0615357123403,False,,2.3,2.3,2.3
2022-02-01,Sainsburys,70177228347,Black Tea,R Twinings & Co Ltd,Twinings,"Twinings Dark Caramel Tea, 40 Tea Bags",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177228347,False,,4.0,4.0,4.0
2022-02-01,Sainsburys,7613036076173,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Espresso Instant Coffee 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/7613036076173,False,,4.5,4.5,4.5
2022-02-01,Sainsburys,5000208044528,Fruit & Herbal Tea,Tata Global Beverages GB Ltd,Good Earth,"Good Earth Hibiscus, Rose & Sweet Berries Tea Bags x15 39g",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5000208044528,True,Only £2.00: Save 75p,2.75,2.0,2.0
2022-02-01,Sainsburys,1734287,Fruit & Herbal Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Infusions Camomile Tea Bags x20,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000001734287,False,,0.75,0.75,0.75
2022-02-01,Sainsburys,5060229012241,Fruit & Herbal Tea,Pukka Herbs,Pukka,Pukka Organic Chamomile Vanilla & Manuka 20 Tea Bags 32g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060229012241,False,,3.0,3.0,3.0
2022-02-01,Sainsburys,70177233556,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Invigorating /Invigorate Peppermint 80 Teabags 160g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177233556,False,,4.5,4.5,4.5
